"","LOCATION_ID","frequent2","stop_name","jurisdic","zipcode","estimated_pop_density","X","Y","white","white_nh","black","native","asian","pacific","hispanic","other_race","two_races","total_pop","male","female","age_below_18","age_18_29","age_30_44","age_45_54","age_55_64","age_65_more","educ_no_school","educ_high_or_less","educ_bach_or_less","educ_master","educ_prof","educ_phd","english_native","average_household_size","median_income","average_total_ons","average_total_offs","hotspot_1","hotspot_2","hotspot_3","hotspot_4","hotspot_5"
"14",2002,FALSE,"NE Glisan & Laddington","Portland",97232,8515,-122.624881,45.52651775,1408,1383,0,0,65,2,47,3,130,1608,878,1463,665,272,506,749,323,522,3,84,588,310,128,38,1441,2.5,25758.8,59,16,0,0,1,1,1
"15",2552,FALSE,"SE Harold & 69th","Portland",97206,10124,-122.5920021,45.48299717,1541,1464,39,19,184,5,177,46,122,1957,1084,1755,628,460,1422,482,234,371,19,309,922,206,24,32,1678,2.2,23632.5,20,83,0,0,1,1,1
"16",2553,FALSE,"SE Harold & 69th","Portland",97206,10174,-122.5927346,45.48310908,1575,1495,37,20,178,6,166,36,121,1973,1094,1760,648,465,1436,494,231,359,16,316,930,205,22,34,1707,2.2,23995.2,68,12,0,0,1,1,1
"17",2557,FALSE,"SE Harold & 74th","Portland",97206,9727,-122.5868236,45.4830059,1305,1248,55,10,226,3,255,115,134,1849,1023,1731,491,425,1327,399,256,454,39,259,868,210,43,15,1487,2.2,21169.9,23,64,0,0,1,1,1
"18",2558,FALSE,"SE Harold & 74th","Portland",97206,9745,-122.5865668,45.48312652,1295,1239,56,10,228,3,259,118,135,1844,1020,1730,484,424,1322,396,257,458,40,257,866,210,44,15,1479,2.2,21062.7,51,20,0,1,1,1,1
"19",2740,TRUE,"SE Holgate & 56th","Portland",97206,9233,-122.6057871,45.49023464,1473,1414,22,0,69,12,157,42,145,1763,936,1698,539,438,1196,522,275,364,10,211,915,182,40,29,1552,2.2,21800.9,33,97,0,0,1,1,1
"20",2870,FALSE,"SE Hwy 224 & Eckert Ln","Happy Valley",97089,11662,-122.5008488,45.40329224,1740,1682,41,0,114,0,167,83,129,2108,1134,1980,1110,533,753,694,360,508,8,395,815,88,13,12,1830,3,11363.7,2,35,0,1,1,1,1
"21",4345,FALSE,"SW Park Pl & King","Portland",97205,24402,-122.6955705,45.521242,3447,3281,150,3,197,0,477,101,568,4466,2475,3919,789,1660,2413,1255,681,1426,58,342,2016,770,286,161,3644,1.6,94892.9,14,9,1,1,1,1,1
"22",4438,FALSE,"N Peninsular & Watts","Portland",97217,9930,-122.6971509,45.58137932,1373,1268,58,1,110,65,256,50,230,1886,1061,1584,655,319,1283,578,253,324,0,167,970,251,39,1,1609,2.4,24360.2,3,113,0,0,1,1,1
"23",4496,FALSE,"N Portsmouth & Oberlin","Portland",97203,8708,-122.7251943,45.58115787,1276,1206,216,15,218,9,262,41,297,2072,1071,1895,463,1341,812,345,277,302,16,266,615,157,29,16,1691,2.6,8776.6,3,125,0,0,1,1,1
"24",5019,FALSE,"SW Salmon & 20th","Portland",97205,23143,-122.6937853,45.52056045,3208,3026,209,10,179,5,529,125,605,4342,2419,3765,557,1832,2485,1265,507,1251,48,382,2017,775,190,136,3570,1.5,88128.7,24,21,0,1,1,1,1
"25",5522,FALSE,"SE Steele & 36th Pl","Portland",97202,9345,-122.6256169,45.48467988,1073,1026,70,6,38,0,129,28,98,1312,722,1265,319,847,466,289,189,357,0,127,490,171,25,18,1172,2,8518.2,6,69,0,0,1,1,1
"26",5976,FALSE,"N Vancouver & Ainsworth","Portland",97217,9586,-122.6687362,45.56630733,1417,1398,188,23,36,0,93,63,70,1798,901,1737,531,367,782,648,497,464,0,156,845,287,109,17,1436,2.2,51282.4,37,89,0,0,1,1,1
"27",6379,FALSE,"N Willis & Hereford","Portland",97203,8912,-122.7206133,45.58411554,931,867,365,12,161,1,301,88,305,1862,1060,1467,613,628,899,380,256,254,40,377,661,141,5,14,1345,2.5,9831.1,6,123,0,0,1,1,1
"28",6380,FALSE,"N Willis & Hodge","Portland",97203,9155,-122.7200183,45.58401185,948,883,375,12,164,1,309,90,312,1902,1085,1495,629,634,920,390,262,259,41,387,677,144,5,15,1372,2.5,10070,107,6,0,0,1,1,1
"29",6597,FALSE,"SW 121st & North Dakota","Tigard",97223,10004,-122.8002039,45.43853479,1305,1170,3,10,217,0,265,80,226,1841,1090,1587,719,530,783,374,368,501,7,197,841,143,26,27,1361,2.6,17745.5,77,25,0,0,1,1,1
"30",7151,FALSE,"SE 223rd & Salmon","Gresham",97030,9650,-122.4339841,45.5133301,924,820,36,28,26,63,292,91,168,1336,836,1148,489,621,512,297,211,319,6,293,425,47,13,3,986,2.5,9005.1,32,60,0,0,1,1,1
"31",7208,FALSE,"NE 24th & Tillamook","Portland",97212,9750,-122.6410824,45.53734105,1412,1319,86,35,51,5,194,24,163,1775,950,1651,445,665,919,421,296,542,14,69,918,233,121,37,1501,1.9,22170.6,20,78,0,0,1,1,1
